Id,Label,timeset,modularity_class
1,upset cant updat facebook text might cri result school today also blah,,23
2,kenichan dive mani time ball manag save 50 rest go bound,,12
3,whole bodi feel itchi like fire,,13
4,nationwideclass behav im mad cant see,,23
5,kwesidei whole crew,,13
6,need hug,,3
7,loltrish hey long time see yes rain bit bit lol im fine thank how,,12
8,tatianak nope didnt,,23
9,twittera que muera,,0
10,spring break plain citi snow,,13
11,just repierc ear,,24
12,caregiv couldnt bear watch thought ua loss embarrass,,25
13,octolinz16 count idk either never talk anymor,,25
14,smarrison wouldv first didnt gun realli though zac snyder just doucheclown,,24
15,iamjazzyfizzl wish got watch miss iamlilnicki premier,,25
16,holli death scene will hurt sever watch film wri director cut now,,1
17,file tax,,23
18,lettya ahh ive alway want see rent love soundtrack,,8
19,fakerpattypattz oh dear drink forgotten tabl drink,,12
20,alydesign day didnt get much done,,23
21,one friend call ask meet mid valley todaybut ive time sigh,,12
22,angrybarista bake cake ate,,13
23,week go hope,,13
24,blagh class 8 tomorrow,,12
25,hate call wake peopl,,8
26,just go cri sleep watch marley,,24
27,im sad now misslilli,,1
28,ooooh lol lesli ok wont lesli wont get mad,,23
29,meh almost lover except track get depress everi time,,23
30,some1 hack account aim now make new one,,1
31,alielayus want go promot gear groov unforn ride may b go one anaheim may though,,8
32,thought sleep option tomorrow realiz now evalu morn work afternoon,,3
33,julieebabi awe love 1 miss,,25
34,humpninja cri asian eye sleep night,,23
35,ok im sick spent hour sit shower caus sick stand held back puke like champ bed now,,13
36,cocomix04 ill tell ya stori later good day ill workin like three hour,,12
37,missxu sorri bed time came gmt1,,12
38,fleuryli dont either depress dont think even want know kid suitcas,,8
39,bed class 812 work 123 gym 35 6 class 610 anoth day that gonna fli miss girlfriend,,25
40,realli dont feel like get today got studi tomorrow practic exam,,23
41,hes reason teardrop guitar one enough break heart,,12
42,sad sad sad dont know hate feel wanna sleep still cant,,8
43,jonathanrknight awww soo wish see final comfort im sad miss,,25
44,fall asleep just heard traci girl bodi found sad heart break famili,,24
45,viennah yay im happi job also mean less time,,12
46,just check user timelin blackberri look like twank still happen ppl still prob w bgs uid,,24
47,oh manwa iron jeancjumb fave top wear meet burnt,,23
48,strang sad lilo samro break,,1
49,tea oh im sorri didnt think retweet,,8
50,broadband plan massiv broken promis via wwwdiigocomtautao still wait broadband,,12
51,localtweep wow ton repli may unfollow can see friend tweet your scroll feed lot,,25
52,duck chicken take wayyy long hatch,,13
53,put vacat photo onlin yrs ago pc crash now forget name site,,1
54,need hug,,3
55,andywana sure pos much want dont think can trade away compani asset sorri andi,,8
56,oanhlov hate happen,,8
57,sad feel dalla go show gotta say though youd think show use music game mmm,,1
58,ugh92 degre tomorrow,,12
59,u move thought u alreadi sd hmmm random u found glad hear yer well,,8
60,batmanyng miss ps3 commiss wutcha play cop blood sand,,25
61,just leav park lot work,,24
62,life cool,,13
63,sad though ive never gotten experi post coitus cigarett now never will,,1
64,nice day bad rain come tomorrow 5am,,12
65,starrbbi bad wont around lost job cant even pay phone bill lmao aw shuck,,23
66,damm back school tomorrow,,12
67,mo job money hell min wage 4 fn clam hour,,12
68,katortiz forev see soon,,25
69,ltalgonquin agre saw failwhal allllll day today,,12
70,jdarter oh haha dude dont realli look em unless someon say hey ad sorri im terribl need pop,,8
71,ninjen im sure your right need start work nikster jare least,,3
